$	~[,SIF][,DOL][,SI]
抃	~[JLPR][JLP]
抄	~*[JSP]
抅	~*[JNU]
抆	~*[JWX]
抇	~[JDOV][JDO]
抈	~[JUEV][JUE]
抉	~*[JJV]::[JJNV][JJN]
把	~*[JCL]
抋	~[JHAR][JHA]
抌	~[JKLV][JKL]
抍	~[JXJV][JXJ]
抎	~[JTAV][JTA]
抏	~*[JRR]
抐	~[JNB]
抑	~*[JFP]
抒	~*[JUI]
抓	~*[JEI][JEN]
抔	~[JBAR][JBA]
投	~*[JRU]
抖	~*[JDJ]
抗	~*[JLR]
折	~*[JKI]
抙	~*[JHJ]
抛	~[JKDR][JKD]
抜	~*[JXU]
抝	~*[JWY]
択	~[JCNR][JCN]
抣	~[JNB][JNR]
报	~[JPUR][JPU]
抦	~*[JENB][JTNB]::[JENV][JEN]
抧	~*[JOB]
抨	~*[JPJ]
抩	~*[JNY]
抪	~*[JXN]
披	~*[JPX]
抬	~*[JUO]
抭	~*[JNR]
抮	~*[JBM]
抯	~[JMEV][JME]
抰	~[JCNV][JCN]
抱	~*[JNL]::[JNOL]
抲	~*[JTO]
抳	~*[JCF]
抴	~*[JSL]
抵	~*[JXE]
抶	~*[JSN]
抷	~[JBE]
抸	~*[JBZ][JPZ]::[JPAZ]
抹	~*[JYS]::[JQBV][JQB]
抺	~[JQBR][JYSV][JQB][JYS]
抻	~*[JII]::[JIQI]
押	~*[JQI]
抽	~*[JIQ]
抾	~*[JYU]
抿	~*[JOX]
拀	~[JOR]
拁	~[JDOR][JDO]
拂	~*[JVJ]
拃	~[JVF]
拄	~*[JAK]
担	~[JDES][JDE]
拆	~*[JKA]
拇	~*[JOM]
拈	~*[JZO]
拉	~*[JLE]
拊	~[JPAR][JPA]
拋	~*[JKD]
拌	~*[JBJ]
拍	~*[JPD]
拎	~*[JAT][JAP]
拏	~[GUHV][GUH]
拐	~*[JOD][JON]
拑	~[JGOV][JGO]
拒	~*[JFF]
拓	~*[JLO]
拔	~*[JAX]::[JAXX][JAXU]
拕	~[JNFV][JNF]
拖	~*[JVA]
拗	~*[JWD]
拘	~*[JNO]
拙	~*[JEU]::[JEER][JEE]
拚	~*[JUR]
招	~*[JDO]
拜	~*[HFJ]
拝	~*[JFJ]
拞	~[JKEV][JPOV][JKE][JPO]
拟	~[JUAS][JUBV][JUA][JUB]
拠	~[JPRV][JPR]
拡	~[JLUR][JLU]
拤	~[JFPR][JFP]
拪	~*[JCO]
拫	~*[JDK]
括	~*[JGO]
拭	~*[JIV]::[JAXI]
拮	~*[JYO]
拯	~*[JWE]
拰	~*[JPK]
拱	~*[JRB]
拲	~[RBHR][RBH]
拳	~*[BNH]
拴	~[JBKV][JBK]
拵	~*[JXIZ]
拶	~*[JSC]
拷	~*[JRK]::[JYPK]
拸	~*[JCC]
拹	~[JDDDV][JDDD]
拺	~*[JJNS]::[JJNF][JJN]
拻	~*[JLF][JXF]
拼	~*[JBK]
拽	~*[JIX][JQX]::[JIQX]
拾	~*[JAO][,DJ]
拿	~*[AOH]
挀	~[JLKV][JLK]
持	~*[JYA]
挂	~*[JYY]
挃	~*[JPE]
挄	~*[JSER]
挅	~*[JRT]
挆	~[JRT]
指	~*[JFD]
挈	~*[FDH][HDH]
按	~*[JNG]
挊	~[JFF]
挋	~[JREV][JRE]
挌	~*[JPO]
挍	~[JLXV][JLX]
挎	~*[JXK]::[JDRK]
挏	~*[JNEO]
挐	~[GOHV][GOH]
挑	~*[JRA]::[JRBB]
挒	~[JDR]
挓	~[JNGR][JNG]
挔	~[JLKR][JLK]
挕	~[JRJV][JRJ]
挖	~*[JZV]::[JNRZ][JNBZ]
挗	~*[JJQB]::[JENR][JEN]
挘	~*[JSD]
挙	~*[SEBH]::[EHJV][EHJ]
挛	~[LFHS][LFH]
挟	~[JGNS][JGN]
挡	~[JSEV][JSOR][JSE][JSO]
挦	~[JEA]
挨	~*[JAN]::[JUVD]
挩	~*[JBOR]
挪	~*[JEB]
挫	~*[JY]::[JBBY]
挬	~*[JJNZ]
挭	~*[JTQX]::[JTXV][JTX]
挮	~*[JTP]::[JBQP]
振	~*[JFK]
挰	~*[JOK]
挱	~[JWSV][JWS]
挲	~*[JWS][WSH]
挳	~*[JSI][JUY]::[JESI]
挴	~*[JVOM]
挵	~*[JKR]
挶	~*[JCYO][JONO]
挷	~[JFBR][JFB]
挸	~*[JMR]
挹	~*[JOC]::[JOCL]
挺	~*[JW]::[JKWV][JKW]
挻	~*[JPZW]
挼	~[JEGV][JEG]
挽	~*[JEL]::[JNCR][JDCR]
挾	~*[JGN]
挿	~*[JGQI]::[JGGV][JGIF][JGQV][JGG][JGI][JGQ]
捀	~*[JPF]
捁	~[JSOV][JSO]
捂	~*[JWO]
捃	~*[JEO]
捄	~*[JAJW]::[JNAV][JNA]
捅	~*[JTJ]::[JTNQ]
捆	~*[JOT]
捇	~*[JYF]
捈	~*[JBH]
捉	~*[JOZ]
捊	~[JEZV][JEZ]
捋	~*[JEA]::[JUAR][JUA]
捌	~*[JONR][JODR][,DB]
捍	~*[JDG]
捎	~*[JSU]
捏	~*[JDY][JGI][JGY]
捐	~*[JOU]
捑	~*[JDKD][JDVD][JMAD]
捒	~*[JVS]::[JJCS]
捓	~*[JXB][JYB]
捔	~[JNER][JNE]
捕	~*[JIJ]::[JAJQ]
捖	~*[JNRR]
捗	~*[JZS]
捘	~*[JHX]::[JUBP][JURP]
捙	~*[JCJ]
捚	~*[JQE]
捛	~*[JOPO]
捜	~*[JIU]::[JIQU]
捝	~[JBORV][JBOR]
捠	~*[JKEB]::[JPOB]
捤	~*[JCM]
捥	~*[JNCP]
捦	~[JAEV][JAE]
捧	~*[JFNQ]
捨	~*[JBO]::[JBGO][JBYO]
捩	~*[JFAD]
捪	~*[JXD]
捫	~*[JMI][JMY]
捬	~*[JLPA]
捭	~*[JPG]::[JPQG]
据	~[JCJOV][JCJO]
捯	~*[JPR]
捰	~*[JQT]
捱	~*[JLYY]
捲	~*[JPL]::[JBNP][JBNL]
捳	~*[JKE]::[JKEE][JPOE]
捴	~*[JBUH]
捵	~*[JROB]::[JFBV][JFB]
捶	~*[JGE]::[JGJY]
捷	~*[CZ]::[JJEZ][JJZ][JZEZ]
捸	~*[JEW]
捹	~*[JDJR]
捺	~*[JDRS]
捻	~*[JAYH]
捼	~*[JHG]
捽	~[JJJR][JJJ]
捾	~*[JNB]
捿	~*[JJG]::[JJEG]
掀	~*[IZ]::[JKIR][JKI]
掁	~[JEKV][JEK]
掂	~*[JLZO]
掃	~*[JEJ]::[JENN][JEES][JEE]
掄	~*[JAM]
掅	~*[JHU]
掆	~[JNBEV][JNBE]
掇	~*[JUUU]
授	~*[KG]::[JENU]
掉	~*[JQJ]::[JZDJ]
掊	~[JLOV][JLO]
掋	~*[JLXE]
掌	~*[SHV]::[SNOH]
掍	~[JDB]
掎	~*[JDTO]::[JVOV][JVO]
掏	~*[JNI]::[JNWU]
掐	~*[JGV]::[JDGV][JNGV][JDG][JG][JNG]
掑	~*[JKB]
排	~*[JS]::[JRSS]
掓	~*[JFSU]
掔	~*[RUH]
掕	~*[JYRP][JYBP]::[JYX]
掖	~*[JLX]::[JLPU]
掗	~*[JOE]
掘	~*[JCEE][JCEU]
掙	~*[JEEV]::[JNEV][JEE][JNE]
掚	~[JEB][JENB][JTNB]
掛	~*[JPV]::[JYYP][JYYV][JYY]
掜	~*[JGR]
掝	~*[JHE]::[JAQE]
掞	~[JFFV][JFF]
掟	~*[JNEZ]::[JNZV][JNZ]
掠	~*[JLS]::[JLOS]
採	~*[JET]::[ETNV][JMNV][ETN][JMN]
探	~*[JNN]::[JNRT][JNBT]
掣	~*[SNRH]
掤	~[JUUV][JUU]
接	~*[JLG]
掦	~*[JDNM]::[JEP]
控	~*[JI]::[JNRI][JNBI]
推	~*[JVE]
掩	~*[JXL]::[JDIL][JDQL]
措	~*[JRD]
掫	~[JRUR][JRU]
掬	~*[JNM]
掭	~*[JGNF][JGNH][JPDF][JPDH]
掮	~[JFUV][JFU]
掯	~[JZUV][JZU]
掰	~*[HBDH]
掱	~[HHHV][HHH]
掲	~*[JDNF]::[JDLR][JDL]
掶	~*[JLEB][JLEN]
掹	~[JZF]
掺	~[JUDMV][JUMV][JUUMV][JUDM][JUM][JUUM]
掽	~*[JBE]::[JBEEV][JBOV][JBEE][JBO]
掾	~*[JCEQ]
掿	~*[JRXO]::[JROV][JRO]
揀	~[JJQS][JCSV][JSV][JCS][JS]
揁	~[JZMBV][JZMB]
揂	~[JBEV][JBE]
揃	~*[JBI]::[JBER]
揄	~*[JAUR]::[JAIV][JAI]
揅	~*[LOKH]
揆	~*[JKN]::[JJGN][JJED]
揇	~*[JJNG]
揈	~[JNIR][JNI]
揉	~*[JMT]
揊	~*[JEOQ]
揋	~*[JQK]
揌	~[JQHV][JQH]
揍	~*[JFN]::[JFND][JFNN]
揎	~*[JNEE]::[JNES][JNE]
描	~*[JRQ]
提	~*[JJN]::[JDEZ]
揑	~[JGIS][JGYR][JGI][JGY]
插	~*[JGG]
揓	~*[JFVA]
揔	~*[JNQH]
揕	~*[JKBL][JKLB][JKLR][JKRL]::[JKL]
揖	~[JORV][JOR]
揗	~*[JKM][JXM]
揘	~*[JPDK]
揙	~*[JFM]
揚	~*[JEP]::[JDEM][JDVM]
換	~*[JD]::[JNND][JNCV][JNC][JNFB]
揜	~*[JAOR]
揝	~*[JPBD][JPPD]
揞	~*[JLD]
揟	~*[JFBU][JYZU]
揠	~*[JFDG]
握	~*[JCP]
揢	~*[JNPO]
揣	~*[JDI][JER]::[JETR]
揤	~*[JDUP]::[JGIV][JGI]
揥	~*[JLNN]
揦	~*[JJCR][JVSR]
揧	~*[JRH]::[JCSH][JNSH][VSRH]
揨	~*[JLHT][JLNT][JLOT]
揩	~*[JBPD]
揪	~*[JHF]
揫	~[HFHV][HFH]
揬	~*[JNRD]::[JNBD]
揭	~*[JDL]::[JDNL]
揮	~*[JNC]
揯	~*[JHDE]
揰	~*[JGQ]
揱	~*[SURH]
揲	~*[JST]
揳	~*[JFDD][JHDD]
援	~*[JEX]::[JEGU]
揵	~[JEWV][JEW]
揶	~[JRBV][JRB]
揷	~*[JGGI]::[JGGR][JGG]
揸	~*[JTM]::[JTDE]
揹	~*[JFFU]
揻	~*[JAQG]
揼	~*[JLOW]
揾	~[JDFV][JOBFV][JDF][JOBF]
搃	~*[JROH]::[JBOH]
搄	~*[JHEE]
搆	~*[JJE]::[JJNY]
搇	~*[JAYK]
搈	~*[JNW]::[JNBO]
搉	~*[JNV]
搊	~[JNEEV][JNEE]
搋	~*[JLZR]
搌	~*[JCRK]
損	~*[JM]::[JOMB]
搎	~*[JZES][JZPS]
搏	~*[JAV]::[JAJAV][JIAV][JAJA][JIA]
搐	~*[JLWQ]
搑	~[JRRV][JRR]
搒	~*[JLNF]::[JGYV][JGY]
搓	~*[JBKI][JBHI]
搔	~*[JUC]::[JUBC][JUAC]
搕	~*[JYUF]::[JCEV][JCE]
搖	~*[JUU]::[JUWU][JEWU]
搗	~*[JNE]
搘	~*[JYPD]
搙	~*[JFKA]
搚	~*[JDDU]
搛	~[JBEFV][JQNV][JBEF][JQN]
搜	~*[JGU]::[JGIU]
搝	~*[JPMD]
搞	~*[JQO]::[JLOO][JLNOV][JLHO][JLNO]
搟	~*[JCG]
搠	~*[JBEU]
搡	~*[JUUT]
搢	~*[JEFD][JEUD]
搣	~*[JAQF]
搤	~*[JYE]::[JBEF]
搥	~*[JPBW]
搦	~*[JQBB][JQMM]
搧	~*[JFEE]
搨	~*[JDEE]
搩	~[JCSTV][JCTV][JCST][JCT]
搪	~*[JLEO]
搫	~*[ZRUH]
搬	~*[JU]::[JZRU][JZU]
搭	~*[JRO]::[JRAO]
搮	~*[JCT]
搯	~[JEGR][JEG]
搰	~*[JQU]
搱	~[JCLV][JCL]
搲	~*[JNRG]::[JNBGV][JNBG]
搳	~*[JNFO][JNHO]
搴	~*[NJH]::[NJBH]
搵	~*[JDF]::[JOBF]
搶	~*[JO]::[JADO][JBP]
搷	~*[JJMB]::[JJBV][JJB]
搸	~*[JFNH]
搹	~*[JEOT]
携	~[JVRV][JVR]
搻	~*[AOHH]
搼	~*[JBNH]
搽	~*[JRBT]
搾	~*[JNRF][JNBE][JNBF][JNRE]
搿	~*[HAOH]
摀	~*[JWF]
摁	~*[JODH]
摃	~*[JIMB]
摆	~[JFUR][JFYUV][JFU][JFYU]
摇	~[JEWUV][JUUR][JUWUV][JEWU][JUU][JUWU]
摉	~[JNBC]
摋	~*[JXAU][JXTU]
摌	~*[JLLS][JLPS][JWLS]
摍	~*[JNPD]
摎	~*[JEM]::[JEEM]
摏	~*[JFNG]
摐	~*[JMIZ]
摑	~*[JOH]::[JOAE][JOKA]
摒	~*[JCBK]
摓	~*[JPFW]
摔	~*[JLJ]::[JLWJ][JLBJ]
摕	~[JFNNV][JFNN]
摖	~*[JJA]::[JJRS]
摗	~*[JJCI][JVSI]
摘	~*[JXO]::[JLNO]
摙	~*[JCW]
摚	~[JSNY]
摛	~*[JLXU][JWUU]::[JLAV][JLA]
摜	~*[JOXB]::[JOAV][JOMBV][JOA][JOMB]
摝	~*[JLB]
摞	~[JQSR][JQS]
摟	~*[JMG]
摠	~*[JBOH][JPOH]::[JPAS][JPA]
摡	~*[JDUK]::[JDLV][JDL]
摢	~[JZHR][JZH]
摣	~*[JZM]
摤	~*[JDXX][JJXB]
摥	~*[JVDM]::[JVEV][JVE]
摦	~*[JXG]::[JDRG]
摧	~*[JEV]
摨	~*[JCWS]
摩	~*[LHV]::[LTTH]
摪	~*[JGEA][JGNA][JGUA]
摫	~*[JQAR][JQNR]::[JQLV][JQL]
摬	~*[JLDR]
摭	~*[JLRF]
摮	~*[HNPH][YFPH]
摯	~*[YH]::[YBGH][JZH][YZH]
摰	~*[YBYH][YRYH]
摱	~*[JMX]::[JDFU]
摲	~[JCKV][JCK]
摳	~*[JFOO]::[JFXV][JFX]
摴	~*[JURK]
摵	~*[JAQS]
摶	~*[JXA]::[JCUA][JJQA][JQAV][JQA]
摷	~*[JSQT]
摸	~*[JDV]::[JRDD]
摹	~*[RDDH]
摺	~*[JEED]
摻	~*[JUM]::[JUUM][JUDM]
摼	~*[JRUY]
摽	~*[JCRS]
摾	~*[JQOC][JQUC]
摿	~*[JBLD]
撀	~*[YCRH]::[YHJR][YHJ]
撁	~*[JLWS]
撂	~*[JQPO]
撃	~[CRUHV][CRUH]
撅	~*[JLBI]
撆	~[BHJR][SNSHV][BHJ][SNSH]
撇	~*[JBX]::[JSNP]
撈	~*[JFFD][JRND]
撉	~[LHZHV][LOZHV][LZPHV][LHZH][LOZH][LZPH]
撊	~*[JMU]
撋	~*[JMK]
撌	~*[JQA]::[JCEB]
撍	~*[JKKD]
撎	~*[JYND]
撏	~*[JEIA]
撐	~*[JSNH][JSNX][JSNY]
撑	~[JSNHV][JSNH]
撒	~*[JRX]::[JRUP]
撓	~*[JYR]::[JYYR][JQER]
撔	~*[JDLS]
撕	~*[JKBK]
撖	~*[JIRP][JTRP]
撗	~*[JREB]::[JKAR][JKA]
撘	~*[JZAO]
撙	~*[JBEA]
撚	~*[JJF]::[JUAF][JNBFV][JNRFV][JEAF][JNBF][JNRF]
撛	~*[JMC]::[JMCSV][JMCS]
撜	~*[JJD]
撝	~*[JWA]::[JBWF][JEWF][JYWF]
撞	~*[JLQ]
撟	~*[JGNO][JPDO]::[JGIR][JGOR][JGI][JGO]
撠	~*[JJAQ][JJDQ]
撡	~*[JUF][JUH]::[JUUF][JUUH]
撢	~*[JXJ]::[JCDJ]
撣	~*[JOJ]::[JBQJ][JOOJ]
撤	~*[JP]::[JTUP][JTX]
撥	~*[JFX][JJK]::[JJQU][JAXUV][JAXU]
撦	~*[JDH]::[JDYD]
撧	~*[JSDC][JSDL][JSNC][JSNL]
撨	~*[JVF]
撩	~*[JLA]::[JDBS]
撪	~*[JUDC]::[JUCV][JUC]
撫	~*[JF]::[JVFF][JGLV][JEK][JGL]
撬	~*[JMMM]
播	~*[JMQ]
撮	~*[JDRU][JDEU]
撯	~*[JBHM][JBKM]
撰	~*[JOLB][JFLB]
撱	~*[JBXU]
撲	~*[JFB][JVN]::[JFED][JPAV][JPA]
撳	~*[JAI]
撴	~*[JLHP][JLOP][JLZP]
撶	~*[JAJ]::[JRJQ][JRRJ][JRRQ]
撹	~[JSNRV][JSNR]
撻	~*[JDW][JYW]::[JYBW]
撼	~*[JKH]::[JAQH]
撽	~*[JPDP]
撾	~*[JAW]::[JQOW]
撿	~*[JAC][JAE][JOA]::[JAOB][JASE]
擀	~*[JJBG][JJDG]
擁	~*[JV]::[JLWV][JNQ]
擂	~*[JUQ]
擃	~*[JNK]::[JFFK][JROK]
擄	~*[JZQD]::[JZDV][JZD]
擅	~*[JLOE][JLOM]
擆	~*[JRYD]::[JRHV][JRH]
擇	~*[JCN][JFY]::[JFYG][JUQV][JUQ]
擈	~*[JFS]::[JFEL][JFET]
擉	~*[JFNC]
擊	~*[CH]::[CURH][QUIV][CRUH][QUI][YEI]
擋	~*[JSE][JSO]::[JSNQ]
擌	~*[JZG]
操	~*[XT]::[JOOT][JLT]
擎	~*[NHJ]::[RNOH]
擏	~*[JNX]::[JRNP]
擐	~*[JFEK]::[JONV][JON]
擑	~*[JOAR]::[JORQV][JORQ]
擒	~*[JL]::[JBLU][JBLV][JBL][JBWU]
擓	~*[JFWV]
擔	~*[JVO]::[JNLI][JDEV][JDE]
擕	~[JVMV][JVUV][JVM][JVU]
擖	~*[JRDB][JRDL]::[JRDV][JRD]
擗	~*[JCOG][JCOL]::[JPJV][JPJ]
擘	~*[PHJ]::[COLH]
擙	~*[JPND][JPOB]
據	~*[JZN]::[JZEQ][JCJO]
擛	~*[JRST]
擜	~*[JJND][JNAD]
擝	~*[JDUF]
擟	~[JRXV][JRX]
擠	~*[JWH][JWR]
擡	~*[JTE]::[JYOP]
擢	~[JEEVV][JEEV]
擣	~*[JYYA]::[JFAV][JFA]
擤	~*[JPMR]
擥	~*[RVAH][RVEH]::[RFHR][RFH]
擦	~*[JNJ]::[JNJS]
擧	~[EHJR][EHJ]
擨	~*[JLZI]
擩	~*[JUTR]::[JURR][JUR]
擪	~[LDUHV][YHJV][LDUH][YHJ]
擫	~*[JYN]::[JLDD]
擬	~*[JZ]::[JFVZ][JUA][JUB]
擭	~*[JRVU]
擮	~*[JJAV]
擯	~*[JNKB][JNPB][JNSB]::[JNCBV][JNCB]
擰	~*[JNT]::[JNHT]
擱	~*[JMPO]
擲	~*[JGB]::[JBEB][JBGB]
擳	~*[JZDP]
擴	~*[JLK]::[JLPV][JLUV][JLP][JLRB][JLU]
擵	~*[JLTH]
擶	~*[JZB]::[JZBR]
擷	~*[JYOB][JYOT]
擸	~*[JSFS][JSOS]::[JSLV][JSL]
擹	~*[JRCI]
擺	~*[JFU]::[JFUF][JFYU]
擻	~*[JMGP]
擼	~*[JUFD]
擽	~*[JWPT]::[JRNV][JRN]
擾	~*[JYX]::[JTDP][JTMP]
擿	~*[JXW]::[JLNW]
攀	~*[TXXH]
攁	~*[JBHA][JBHK][JBKX]
攂	~*[JQQQ]
攃	~*[JRJS]
攄	~*[JZQH]
攅	~*[JQAB][JQNB]
攆	~*[JQNC][JQAC]
攇	~*[JNFH][JNHH]
攈	~*[JLBH]
攉	~[JUVV][JUV]
攊	~*[JLHZ]
攋	~*[JJCB][JVSB]
攌	~*[JOFK]::[JOOS][JOO]
攍	~*[JFUA][JFUZ]
攎	~*[JZQF]
攏	~*[JAL]::[JLUL][JAKP][JKAP]
攐	~*[JNJK]
攑	~*[JEQ]
攓	~*[JNJZ]
攔	~*[JBS][JMN]::[JMJS][JMCS]
攕	~*[JBBE]
攖	~*[JSG]::[JMBG]
攗	~*[JLBM]
攘	~*[JLN]::[JLOK]
攙	~*[JNOA][JNCB][JNOE]::[JEBV][JEB]
攚	~*[JFFO]
攛	~*[JNBC][JNBS][JNRC][JNRS]
攜	~*[JVM][JVR][JVU]::[JEVO][JEVM][JEVR][JEVT][JEVU]
攝	~*[JRV]::[JRRR][JRUU]
攞	~*[JFC]::[JFSV]
攟	~*[JLBO]::[JLBHV][JLBH]
攠	~*[JLTS]
攡	~*[JLV]::[JWUV][JWXV]
攢	~*[JSRB]
攣	~[ISSHV][LFHV][SISHV][ISSH][LFH][SISH]
攤	~*[JUV]::[JRCV]
攥	~*[JZMS]
攦	~*[JLLB]
攧	~*[JJBB][JJBT][JJMT]::[JJMB]
攨	~[JNBGR][JNRGV][JNBG][JNRG]
攩	~*[JSNF]
攪	~*[JSNR]
攫	~*[JMMU]
攬	~*[JVL]::[JRVR][JRFR]
攭	~*[JCEC]
攮	~*[JJCK][JVNK]
支	~*[JUX]
攰	~*[JUD]
攱	~[LJUR][LJU]
攲	~*[DTOU]::[VJUR][VJU]
攳	~*[JUEA]
攴	~[ZUXV][ZUX]
攵	~*[,PX]::[PXV][PX]
收	~*[GPX]
攷	~[KPXR][KPX]
攸	~*[PIP]
改	~*[FLP]
攺	~[OLP]
攻	~*[IPX]
攼	~[GPX]
攽	~[BDPR][BDP]
放	~*[FPX]
政	~*[EZP]
敀	~[PDPV][PDP]
敁	~*[ZOP]::[ZOZU]
敂	~*[NOP]
敃	~[OXPV][OXP]
敄	~[MPXV][MPX]
故	~*[JX]::[JOP]
敆	~*[AOZU]
敇	~*[JNSP]::[JPX]
效	~*[LXP][LXD]
敉	~*[MPX]
敊	~*[FSZU]
敋	~[POPR][POP]
敍	~[ATZUV][BHZUV][ATZU][BHZU]
敎	~[GPR][XXZPV][GP][XXZP]
敏	~*[VX]::[VOMP]
敐	~*[FKP]
救	~*[AP]::[AJWP][NPX]
敒	~*[PIQP]::[PIP]
敓	~*[BORP][BORU]
敔	~*[WOP]
敕	~*[VSD][VSP]::[JCSP][JCSD]
敖	~*[HNP]::[YFPV][YFP]
敗	~*[MBP]
敘	~*[BHP][ATU][BHU]::[ATPV][ATP][ATZU][BHZU]
教	~*[GP]::[YPZP][XXZP]
敚	~[BORPV][BORP]
敜	~*[AYHP]
敝	~*[BXV]::[SNSP][BX]
敞	~[SNOP][SXV][SX]
敟	~*[RORP]::[FBPV][FBP]
敠	~[UUUUV][UUUU]
敡	~*[EZU]::[DNMU]
敢	~*[IRP][TRP]
散	~*[RUP][RXV]::[RX]
敤	~*[QTJU][QTZU]
敥	~*[FFJU][FFZU]
敦	~*[LZP]::[LOZP][LHZP]
敧	~*[VZU]::[DTOUV][DTOU]
敨	~[LOPR][LOP]
敩	~*[SNZP]
敪	~*[UUUP]
敫	~*[PDFP]
敬	~*[NX]::[RNOP]
敭	~*[DVMP]::[DENPV][EPXV][DENP][EPX]
敮	~*[GGZU]
敯	~*[OXDU]
数	~[MGPV][MGP]
敱	~*[EDZU]
敲	~*[QJU][QZU]::[LHNUV][LNOUV][LONUV][LHNU][LNOU][LONU]
敳	~*[EDP]
整	~*[Z]::[JCSZ][VSPZ]
敵	~*[GOP][XPX]::[LNJP]
敶	~*[BCSP][BJQP]
敷	~*[IFP]::[AJNP]
數	~*[MGP]
敹	~*[ZNEP][ZNMP]
敺	~*[FXZU]::[FOOUV][FOOU]
敻	~*[NFMP][NNBP][NOBP]
敼	~*[YDOU][YORU]::[YOBUV][YOBU]
敽	~*[GZU]::[PDOU][GNOU]
敾	~*[BHBP][BHRP][BKBP][BKRP]
敿	~*[EDOP][GNOP][PDOP]::[GPXR][GPX]
斀	~*[FNCU]
斁	~*[FYP]::[FYBP]
斂	~*[APX][OPX]::[AOOP][ADEP][AOBP][ASEP]
斃	~*[BFV]::[SNSF][BDFV][BDF]
斄	~*[QBPL][YSPL]
斅	~*[SNZU]
斆	~[SNZP]
文	~*[WX]
斈	~[WZJR][WZJ]
斉	~[WHER][WHE]
斊	~[WRJ]
斋	~[WRIL][WTNRR][WRI][WTNR]
斌	~[WEAZ][WWEV][WWV][WW][WWE]
斍	~[WMRF][WMR]
斎	~*[WRSR]::[WHSV][WRRSV][WHS][WRRS]
斏	~[WADK][WAN]
斐	~*[RSSW]
斑	~*[KWK]
斒	~*[WFM]
斔	~*[WCGB]
斕	~[WBSV][WMCSV][WMJSV][WMNV][WBS][WMCS][WMJS][WMN]
斖	~*[WSNM]
斗	~*[DJ]
斘	~[CDJ]
料	~*[MDJ]
斚	~*[UUND]
斛	~*[NDJ]
斜	~*[BHD][ATD]
斝	~*[OOND]
斞	~[GBDV][GBD]
斟	~*[KDJ]::[KLRDV][KRLDV][KLBD][KLRD][KRLD]
斠	~*[JNYD]::[JDJ]
斡	~*[JDJD]::[JBDV][JBD]
斢	~*[REQD]::[KDJV][KDJ]
斣	~*[FNCD]
斤	~*[KI]
斥	~*[KAX][KAV]::[KAAV][KAA]
斦	~*[KKI]
斧	~*[BXK]
斨	~[GKIV][GKI]
斪	~*[NOK]
斫	~[LOKF][LOK]
斬	~*[CKI]
断	~[LMKR][MLKS][LMK][MLK]
斮	~[RDKV][RDK]
斯	~*[KBK]
新	~*[LI]::[LTK]
斱	~*[YPAK]::[HKI][YPDK]
斲	~*[OOK][XKI]::[OOOK][OKIR][OKI]
斳	~[RCKV][RCK]
斴	~*[MCK]::[MCSK]
斵	~*[DDOK]::[OOKR][OOK]
斶	~*[KFNC]
斷	~*[FK]::[WWFK][FWWK][LMK][LWWK][MLK][WWEK]
斸	~*[CWFK]
方	~*[FY]
斺	~[FBRV][FBR]
斻	~*[FVR]
於	~*[FBB][UBB]::[UJV][UJ]
施	~*[FVA]
斾	~*[FVN]
斿	~*[FVZ]::[FJS][FJ]
旀	~*[FUS]
旁	~*[GY]::[LNF]
旂	~[FVKV][FVK]
旃	~*[FVNE][FVNL]
旄	~*[FVM]
旅	~*[FVK]
旆	~*[FVJN][FVLN]
旇	~*[FVP]
旈	~*[FTS]
旉	~*[IEN][IVY]::[AJNN][AJNV][AJNFV][IFYR][AJNF][IFY]
旊	~*[FVW]
旋	~*[FZV]::[FVYZ][FVFB]
旌	~*[FVS]
旍	~*[FVAP][FVAT]
旎	~*[FVCF]
族	~*[AV]::[FVVD]
旐	~*[FVRB]::[FVRV][FVR]
旑	~*[FVO]::[FDTO]
旒	~*[FVTS]
旓	~*[FVSU]
旔	~[FEW]
旕	~*[FBBF]::[FOBF]
旖	~*[FVV]::[FVDO]
旗	~*[FG]::[FVKB][FBV]
旘	~[FLAD][FOB]
旚	~*[FVCS]
旛	~*[FVMQ]
旜	~*[FPIE][FPIM][FVLE][FVLM]
旝	~*[FVAD]
旞	~*[FVBW]
旟	~[FVEV][FVE]
无	~[EKLS][GLLV][EKL][GLL]
旡	~[KL]
既	~*[DL]::[DUK][PDFK]
旣	~[ADFK][DLR][DUKV][PDFKV][DL][DUK][PDFK]
旤	~*[QOK]::[ONBK]
日	~*[DO]
旦	~*[DEV]::[DE][DEE][DEEV]
旧	~[IDOR][IDO]
旨	~*[FDO]
早	~*[DJJ]
旪	~[DJJS][DJJ]
旫	~[DDPR][DDP]
旬	~*[NDO]
旭	~*[KDO]
旮	~[KDOV][KDO]
旯	~*[DKL][DKZ]::[DKXV][DKX]
旰	~[DGJR][DGJ]
旱	~*[DGJ]
旲	~*[DDN]
旳	~*[DNA]
旴	~*[DUJ]
旵	~*[DEI]
时	~[DAAF][DAA][H]
旹	~[EED]
旺	~*[DKE]
旻	~*[DWX]
旼	~[DWXV][DWX]
旽	~[DELR][DEL]
旾	~[EDO]
旿	~[DWJV][DWJ]
昀	~*[DNR][DNB]
昁	~*[DJN]::[DLNR][DLN]
昂	~*[DFP][DIP]
昃	~*[DLB]
昄	~*[DLU]
昅	~*[DPU][DRN]
昆	~*[DBL]
昇	~*[DXJ]
昈	~[DFPV][DFP]
昉	~*[DFY]
昊	~*[DGN][DED]
