$	~*[,DOL][,SIS][,SI]
煬	~*[FEP][FDEM]
煮	~*[HFA]*[YDF][YPDF]
煽	~*[FFEE]
熄	~*[FPMH]
熈	~*[IROF]*[PROF]
熊	~*[UF][UFAV][UUFFV][UFA][UUFF]
熏	~*[GQF]
熔	~*[FNBO][FNWV][FNW]
熕	~*[FIMB]
熙	~*[RFLF][ROLFV][ROLF]
熟	~*[LF][LHZF][LOZF][LZZF]
熨	~*[CAF][CRSF]
熬	~*[HNPF]*[YFPF]
熱	~*[YF][JZF][YBYF][YRYF][YZF]
熹	~*[YDOF]*[YOBF]
熾	~*[FOB][FLAD]
燁	~*[FAJ][FPFJ][FRJQ][FRRJ][FRRQ]
燃	~*[FJF][FEAF][FNBF][FNRF][FUAF]
燈	~*[FJD]*[FTI]
燉	~*[FLHP]*[FLOP]*[FLZP]
燎	~*[FLA][FDBS]
燐	~*[FMC][FMCS]
燒	~[FQERV][FYRV][FYYRV][FQER][FYR][FYYR]
燔	~[FMQV][FMQ]
燕	~*[RFV][RFOF][ROFF]
燗	~*[FMU]
營	~[FFNOV][RNOOV][SNOOV][FFNO][RNOO][SNOO]
燠	~*[FPND]*[FPOB]
燥	~*[FLT][FOOT]
燦	~*[FEI][FZCM]
燧	~*[FBEW]
燬	~*[FGIU]*[FGYU]
燭	~*[FC][FCA][FFNCV][FFNC]
燮	~*[FIFU]*[IFFU]
燵	~*[FYW][FYBW]
燹	~*[EQEF]
燻	~*[FGQF]
燼	~*[FCNB]*[FEFF]
燾	~*[FAF][YYIF]
燿	~*[FEEV]
爆	~*[FW][FDRW]
爍	~*[FFS]*[FRN][FPDT][FWPT]
爐	~[FFPV][FZQFV][FFP][FZQF]
爛	~*[FBS]*[FMN][FMJS][FMCSV][FMCS]
爨	~*[SNTF]
爪	~[EIV][ENV][EI][EN]
爬	~*[ECL]
爭	~[EEJV][NEJV][EEJ][NEJ]
爰	~*[EGU][EXR][EX]
爲	~[EWFV][EWF]
爵	~*[EFAA]*[EFDA]
父	~*[BXX]
爺	~*[BXRB][BXPV][BXP]
爻	~*[XXX]
爼	~*[XXM]
爽	~*[DXXX]*[JXXB]
爾	~*[NSA][RXV][RX]
爿	~*[,GI]*[,GP][GIV][GPV][GI][GP]
牀	~[GTNR][GTN]
牆	~*[GWOO]
片	~*[PY]
版	~[PLUV][PLU]
牋	~*[PAF][PAQQ][PKXV][PKX]
牌	~*[PG][PPG][PPQG]
牒	~*[PST]
牘	~*[PJM]*[PYM][PJYD][PYFB]
牙	~*[XP]*[YP]
牛	~*[SJ]
牝	~[SFLV][SFL]
牟	~*[USJ]
牡	~*[SYE]
牢	~*[NSJ]
牧	~*[SPX]
物	~*[SNM]
牲	~*[SSE]
牴	~*[SXE]
特	~*[SYA]
牽	~*[LS][DNS][LWNS]
牾	~*[SWO]
犀	~*[CWS]
犁	~*[HRS]
犂	~*[HDS]
犇	~*[SSS]
犒	~[SLHOV][SLNOV][SLOOV][SQOR][SLHO][SLNO][SLOO][SQO]
犖	~*[RNS][FFNS]
犠	~*[SBX][SBKI][SBKV][SBK]
犢	~[SJMV][SJYDV][SYFBR][SYMR][SJM][SJYD][SYFB][SYM]
犧	~*[SBR]*[SCO][SBKK][SBKR]
犬	~*[ADN]
犯	~*[QP][QPL]
犱	~*[QKA]*[QZA]*[QZX]
犲	~*[QUP]
状	~*[GAD]
犹	~*[QAK]
犾	~[QADV][QAD]
狂	~*[QKE]
狃	~[QEEV][QEE]
狄	~*[QFN]
狆	~*[QCI]*[QCJ]
狎	~*[QQI]
狐	~[QGAV][QGNR][QGA][QGN]
狒	~*[QVJ]
狗	~*[QNO]
狙	~*[QME]
狛	~*[QPD]
狠	~*[QDK]
狡	~*[QLX]
狢	~[QPOR][QPO]
狩	~*[QNA]
独	~*[QC][QCA]
狭	~*[QGN]
狷	~*[QOU]
狸	~*[QQE]
狹	~[QGNS][QGN]
狼	~*[QAN][QADK]
狽	~*[QMB]
猊	~*[QGR]
猖	~*[QDD]
猗	~[QDTOV][QVOV][QDTO][QVO]
猛	~*[QZF]
猜	~*[QHU]
猝	~*[QJJ]
猟	~*[QS][QRD][QSNQ][QSOS][QSRQ]
猤	~*[QJED]*[QJGN][QKNV][QKN]
猥	~*[QQK]
猩	~*[QDS]
猪	~*[EQH]*[QHO]*[QYD][EQYD][QYPD]
猫	~*[QRQ][EQRQ]
献	~*[NAD][JNBD][ZEOD]
猯	~*[QDI][QETR][QERV][QER]
猴	~*[QPFD]
猶	~*[QBE]
猷	~*[BEAD]
猾	~*[QQU]
猿	~*[QYOK]
獄	~*[QIAD]
獅	~*[QNV][QPBN][QREN]
獎	~[GCDR][GEADR][GUADR][GCD][GEAD][GUAD]
獏	~*[QRDD]
獗	~*[QLBI]
獣	~*[OOQD]*[SQED]
獨	~[QFNC][QCAV][QCV][QC][QCA]
獪	~*[QAD]*[QBT][QAQDV][QAQD]
獰	~*[QNT][QNHT]
獲	~*[QU][QRVU][RQAD]
獵	~*[QSL][QSFS][QRDV][QSOSV][QSRQV][QSV][QRD][QS][QSOS][QSRQ]
獷	~*[QLP][QLRB][QLKV][QLK]
獸	~*[BQEO]*[SQEO][OOQDV][OOQD]
獺	~*[QJCB]*[QJCT]*[QVSB]*[QVST]
獻	~[JNBDV][NADV][ZEODV][JNBD][NAD][ZEOD]
玄	~*[LWA]
率	~*[LJJ][LBWJ][LWBJ]
玉	~[KAAV][KAA]
王	~*[KE]
玖	~*[KNN]*[,DK]
玩	~*[KRR]
玲	~*[KAP]*[KAT]
玳	~*[KPAX]
玻	~*[KPX]
玽	~*[KNO]
珀	~*[KPD]
珂	~*[KTO]
珈	~[KDOV][KDO]
珉	~[KOXV][KOX]
珊	~*[KMJ]*[KNR][KNNE]
珍	~*[KBM]
珎	~*[KNS]*[KRX]*[KVS]
珒	~[KEJV][KEJ]
珖	~*[KSER]
珞	~*[KPO]
珠	~*[KSB]*[KSS]
珣	~*[KND]
珥	~[KRJV][KRJ]
珪	~*[KYY]
班	~*[KRK]*[KXK]*[KYK]
珮	~*[KREN]*[KRTN]
珱	~*[KSG]
珵	~*[KOK]
珸	~*[KWO]
現	~*[KMR]
球	~*[KNA][KAJW]
琅	~*[KAN][KADK]
理	~*[KQ][KQE]
琇	~*[KHR]
琉	~*[KTS]
琢	~*[KEQ]
琥	~*[KZR]
琦	~*[KVO][KDTO]
琩	~*[KDD]
琪	~[KKBV][KKB]
琮	~*[KNRS][KNSV][KNS]
琲	~*[KRSS]
琳	~*[KTT]
琴	~*[KKAY]
琵	~*[KKB]
琶	~*[KKC][KKCL]
琺	~*[KWYU]
琿	~*[KNC]
瑁	~*[KDM]
瑕	~*[KOX][KOFU]
瑙	~*[KSO]*[KWU][KSPO][KSPX][KSWU][KLXUV][KLXU]
瑚	~*[KFU][KJOU]
瑛	~*[KRC]
瑜	~*[KAI][KAUR]
瑞	~*[KDI]*[KER][KETR]
瑟	~*[KKHP]
瑠	~*[KOQ][KDDQ]
瑢	~*[KNW][KNBO]
瑣	~*[KSMB]
瑤	~[KEGUV][KEWUV][KUUV][KUWUV][KEGU][KEWU][KUU][KUWU]
瑩	~*[FFNA]*[RNKA]
瑪	~*[KMF]
瑯	~*[KAB][KADB]
瑰	~*[KVA][KPQU]
瑳	~*[KBHI]*[KBKI]
瑶	~*[KUU][KEGU][KEWU][KUWU]
瑾	~[KRCV][KRC]
璃	~*[KLA][KLXU][KWUU]
璉	~*[KCW]
璋	~*[KLDJ]
璞	~*[KFB]*[KVN][KFED]
璟	~*[KDLS]
璢	~*[KXQ][KEDQ][KEFQ][KDDQV][KOQV][KDDQ][KOQ]
璧	~*[PKA][COLA]
環	~*[KK][KBA][KFEK][KON]
璽	~*[RKA][NSKA]
瓊	~*[KLS][KLOS][KNFP][KNNP][KNOP]
瓏	~*[KAL][KAKP][KLUL]
瓔	~*[KMBG][KSGV][KSG]
瓜	~*[GA][GNV][GN]
瓠	~*[XGA]*[XGN][DRKG]
瓢	~*[CRSG]
瓣	~*[LGL]
瓦	~*[WA]
瓧	~[WJJR][WJJ]
瓩	~[WGJV][WGJ]
瓮	~*[BUW]
瓰	~[WBDV][WBD]
瓱	~*[WML]
瓲	~[WELV][WEL]
瓶	~*[BKW]
瓷	~*[BIW]*[RIW]
瓸	~[WTDV][WTD]
甁	~*[BGGW]*[PGPW][BKWR][BKW]
甃	~*[HFW]
甄	~*[CYW]
甅	~[WLQR][WLQ]
甌	~*[FXW][FOOW]
甍	~*[RFNW]
甎	~*[XWA][CUAW][JQUW]
甑	~*[BWA][BQDW]
甓	~*[PWA][COLWV][COLW]
甕	~*[LWVW]
甘	~*[GO]
甚	~*[KL][KBL][KLB][KLR][KRL]
甜	~*[GOG]
甞	~*[SNOG]
生	~*[SE]
産	~*[LPS]*[WLS]
甥	~*[SQD]
甦	~*[TQXS][TSEV][TSE]
用	~*[NQJ]
甫	~*[IJ][AJNQ]
甬	~*[TNQ][TJV][TJ]
甯	~*[NHNQ]
田	~*[QO]
由	~*[IQO]
甲	~*[QI][QIV][QIIV][QII]
申	~*[II][IQI]
男	~*[QDX]*[QDY]
甸	~*[NQO]
町	~*[QTI]
画	~*[EQU]*[TQU]
甼	~[QTIV][QTI]
畄	~[SQOS][SQO]
畆	~*[LQU]
畉	~*[QQN]
畊	~[QJJV][QJJ]
畋	~*[QPX]
界	~*[QR][QBR]
畍	~[QBRV][QBR]
畏	~*[QKN]
畑	~*[FQO]
畔	~*[QBJ]
留	~*[DDQ]*[OQO]
畚	~*[UDQ]
畛	~*[QBM]
畜	~*[LWQ]
畝	~*[LQO][LQNN]
畠	~*[PDQ]
畢	~*[BJJ]*[QRJ][QJJQ][QJV][QJ]
畤	~*[QYA]
略	~*[QPO]
畦	~*[QYY]
畧	~[QPOV][QPO]
畩	~*[QLK]
番	~*[MQO]
畫	~*[EQE][EQUR][EQU][TQU]
畭	~*[QBH]
畯	~*[QHX][QUBP][QURP]
異	~*[OLR]*[QRB]
畳	~*[QNM][QQQM]
畴	~[QFAV][QFA]
當	~[SEER][SNOQV][SEE][SNOQ][SO]
畷	~*[QUUU]
畸	~*[QVO][QDTO]
畿	~*[WWAQ][WQOV][WQO]
疂	~*[QBBM]*[QFNM]
疆	~*[QYEE]
疇	~*[QYYA][QFAR][QFA]
疉	~*[QQQE]*[UUUE]
疊	~*[QQ][QNMV][QQQMV][UUUMR][QNM][QQQM][UUUM]
疋	~*[FBN][YZNV][YZN]
疎	~*[YZJS]*[YZVS]
疏	~*[YZTS]
疑	~*[FZ][FVDZ]
疔	~[LBTV][LBT]
疚	~*[LBNN]
疝	~[LBEV][LBE]
疣	~*[LBAK]
疥	~*[LBBR]
疫	~*[LBRU]
疱	~*[LBNL][LBNV][LBN]
疲	~*[LBP]
疳	~*[LBG]
疵	~*[LBZF]
疸	~*[LBDE]
疹	~*[LBBM]
疼	~*[LBPB]
疽	~*[LBM]
疾	~*[LBVD]
痂	~*[LBDO]
痃	~*[LBLW]
病	~*[LB][LBE][LBEB][LBTB]
症	~*[LBEZ]
痊	~*[LBBK]
痍	~*[LBJB][LBER][LBE]
痒	~*[LBBH]
痔	~*[LBYA]
痕	~*[LBDK]
痘	~*[LBD]
痙	~*[LBSI]*[LBUI]*[LBUY][LBEIV][LBEI]
痛	~*[LQ][LBT][LBTQ]
痞	~*[LBBO]
痢	~*[LBHR]
痣	~*[LBYH]
痩	~*[LBGU]*[LBIU]
痰	~*[LBFF]
痲	~*[LBTT]
痳	~[LBTTV][LBTT]
痴	~*[LBVO]
痺	~*[LBPG]
痼	~*[LBOO]
痾	~[LBBOV][LBBO]
痿	~*[LBHG]
瘁	~*[LBJJ]
瘉	~*[LBA][LBAR]
瘋	~*[LBRC]*[LBRX]
瘍	~*[LBDM][LBES][LBE]
瘟	~*[LBDF]*[LBOF]
瘠	~*[LBBU]*[LBFU]*[LBWU]
瘡	~*[LBAO]*[LBBP]
瘢	~*[LBZU]
瘤	~*[LBDQ]
瘧	~*[LBZE][LBE]
瘰	~*[LBQS]
瘴	~*[LBLJ]
瘻	~*[LBMG]
療	~*[LBL]*[LBW][LBDS]
癆	~*[LBFD]*[LBRD]
癇	~*[LBMU]
癈	~*[LBF][LBJU]
癌	~*[LBOE]
癒	~*[LBAH]
癖	~*[LBCG]*[LBCL][LBPV][LBP]
癘	~[LBRUV][LBRU]
癜	~*[LBCU]
癡	~*[LBFZ]
癢	~*[LBBX][LBBRV][LBBR]
癧	~*[LBLZ]
癨	~*[LBUV]
癩	~*[LBJT]*[LBVB]*[LBVT][LBJBV][LBJB]
癪	~*[LBHB]
癬	~*[LBUH]
癰	~*[LBSV]
癲	~*[LBFB]*[LBFT][LBJBR][LBJTV][LBJB][LBJT]
癶	~*[,JN]*[,JP][JP]
癸	~*[JED][JGNR][KNV][JGN][KN]
発	~*[FL]*[FX][JKJ][JKL][JQRU]
登	~[JDEV][JDE]
發	~[FXV][JKLV][JQRUV][FX][JKL][JQRU]
白	~*[PDO]
百	~*[TDO]
皀	~[PDCV][PDFV][PDC][PDF]
皂	~[PDC][PDF]
皃	~[PDRV][PDR]
的	~*[D][PDNA]
皆	~*[BPD]
皇	~*[PDK]
皈	~*[PDLU]
皋	~*[PDDJ]*[PDTE][PDFJV][PDWJV][PDFJ][PDWJ]
皎	~*[PDLX]
皐	~*[PDFJ]*[PDRJ]*[PDWJ]
皓	~*[PDSO]
皖	~*[PDNR]
皙	~*[TKD][TKPD]
皚	~*[PDED]
皛	~*[PDPD]
皜	~*[PDLO]
皞	~*[PDPJ]
皦	~*[PDPP]
皮	~*[PX]
皰	~*[PNL][PNFL][PNOL]
皴	~*[UBPP]*[URPP][HPXR][HPX]
皷	~*[YDP]
皸	~[NCPR][NCP]
皹	~*[PNC]
皺	~*[NEP][NENP]
皿	~*[FEV][FE]
盂	~*[UFE]
盃	~*[BFE]
盆	~*[BDF]
盈	~*[RUF]*[WPF]
益	~*[Y][BEBF]
盍	~*[YUF]
盒	~*[AOF]
盖	~*[BKF]
盗	~*[BIF]*[WIF]
盛	~*[AFE][AQNF][AQPF]
盜	~[BIFV][WIFV][BIF][WIF]
盞	~*[KFE][AQAF][AFFV][AFF]
盟	~*[DUF]
盡	~[CNBV][EFFR][CNB][EFF]
監	~*[RFE][RVAF][RVEF]
盤	~*[GF]*[ZF][ZRUF][ZFEV][ZFE]
盥	~*[GWF][EWEF]
盧	~*[ZQF][ZCPV][ZCP]
盪	~*[WF][WDEF][WEFV][WEF]
目	~*[MO]
盲	~*[FMO]
直	~*[JE]*[JL][JME][JML]
相	~*[TM][TMO]
盻	~[MBKV][MBK]
盾	~*[KMO]*[XMO]
省	~*[SM][SMO]
眄	~*[MFK][MTLY]
眇	~*[MSP]
眈	~*[MKL]*[MNR]
眉	~*[CMO]
看	~*[HMO]
県	~*[MS][MBES][MBPS][MES][MESS][MLS][MLSS][MUA][MBAV][MBA]
眛	~*[MQB]*[MYS]
眞	~[FMLBV][JBAR][JMEBR][JMLBR][FMLB][JBA][JMEB][JMLB]
真	~*[JBA][FMLB][JMEB][JMLB]
眠	~*[MOX]
眤	~*[MCF]
眥	~[ZFMV][ZFM]
眦	~*[MZF]
眩	~*[MLW]
眷	~*[BNM]
眸	~*[MUS]
眺	~*[MRA][MRBB]
眼	~*[MDK]
着	~*[RD][BHM][BKPM]
睆	~*[MNRR]
睇	~*[MTP][MBQP]
睚	~*[MLYY]
睛	~[MHUV][MHU]
睡	~*[MGE][MGJY][MGRY]
督	~*[FM][FSUM]
睥	~*[MPG][MPQG]
睦	~*[MYE][MYBY][MYRY]
睨	~*[MGR][MPDR]
睫	~*[MJZ][MJEZ][MZEZ]
睹	~*[MHO]*[MYD][MYPD]
睾	~*[FYJ]*[PFY][FYBG][PFYG]
睿	~*[ZNBM]*[ZNEM]
瞋	~*[MJB][MFMB][MJMB]
瞎	~*[MNFO]*[MNHO]
瞑	~*[MNDL]
瞞	~*[MRNB]
瞠	~*[MSNY]
瞥	~*[SNSM]
瞬	~*[MSV][MENS]
瞭	~*[MLA][MDBS]
瞰	~*[MTRP][MIRPV][MIRP]
瞳	~*[MLQ]
瞶	~*[MQA][MCEB]
瞹	~*[MHX][MENP]
瞻	~*[MVO][MNBI][MNLI]
瞼	~*[MAC]*[MAE]*[MOA][MAOB][MASE]
瞽	~*[YDJM]
瞿	~*[MMV]
矇	~*[MRNQ]
矍	~*[MMVU]
矗	~*[JMEE]*[JMLL][JJJV][JJJ]
矚	~*[MC][MCWC]
矛	~*[MP]
矜	~*[MAY]
矢	~*[VDN]
矣	~*[UVD][ANV][AN]
知	~*[VDO]
矧	~*[VDQI]
矩	~*[VDFF]
短	~*[VDD]
矮	~*[VG][VDHG]
矯	~*[VDG][VDEO][VDGO][VDGR][VDPO]
石	~*[LOO]
矼	~[LOIV][LOI]
砂	~*[LSV][LOSV][LOS]
砌	~*[LOCD]
砒	~[LOBV][LOB]
研	~*[LOK]
砕	~*[LOJJ]*[LOKJ]
砠	~*[LOM]
砡	~*[LOKA]
砥	~*[LOXE]
砦	~*[ZFLO]
砧	~*[LOZO]
砲	~*[LONL][LON]
破	~*[LOP]
砺	~*[LOFN]*[LOLN]*[LOLV]
砿	~*[LOLU]
硅	~*[LOYY]
硎	~[LOKRV][LOKR]
硝	~*[LOSU]
硤	~[LOGV][LOG]
硫	~*[LOTS]
硬	~*[LOT][LOTX]
硯	~*[LOMR]
硲	~*[LOBO][LOWV][LOW]
硴	~*[LORF]
硺	~*[LOEA]*[LOEQ]
硼	~*[LOUU]
碁	~*[KBLO]
碆	~*[WPLO]
碇	~*[LONZ]
碌	~*[LOCW]*[LOEW]
碍	~*[LODA]
碎	~[LOJJV][LOJJ]
碑	~*[LG][LOPG]
碓	~[LOVV][LOV]
碕	~*[LODO][LOVR][LOV]
碗	~*[LONP]
碚	~[LOLOV][LOLO]
碣	~*[LOD][LODF][LODL]
碧	~[KPDO][KOV][KO]
碩	~*[LOTB][LOTV][LOT]
碪	~*[LOKB]*[LOKL]*[LOKR][LOKS][LOK]
碯	~*[LOSO]*[LOSX][LOSR][LOS]
碵	~[LOZBV][LOZB]
確	~*[LV][LON][LONV]
碼	~*[TF][LFV][LOMF][LF]
碾	~*[LOCK]
磁	~*[LC][LOBW][LOLW][LORW]
磅	~*[LOG][LOLF]
磆	~*[LOQU]
磊	~*[LOLO]
磋	~*[LOBI]
磐	~*[ZRUO]
磑	~*[LOED]
磔	~*[LOCT]
磚	~*[LOX][LOCA][LOJA]
磧	~*[LOHB]
磨	~*[LTTO]
磬	~*[YCRO][YLOV][YLO]
磯	~*[LOWB][LOR]
磴	~*[LOJD]
磽	~*[LOQR]*[LOYR]
礁	~*[LOVF]
礇	~*[LOPD]
礎	~*[LZ][LOEE][LOTZ]
礑	~*[LOSQ][LOSS][LOS]
礒	~[LOBIV][LOBR][LOB][LOBI]
礙	~*[VZ][LOFZ][LODAV][LODA]
礦	~*[LOL][LOLB][LOLK][LOLUV][LOLU]
礪	~[LOLUR][LOLU]
礫	~*[LOFS]*[LOPT]*[LOWT][LORS][LOR]
礬	~*[TXXO]
礰	~*[LOLZ]
示	~*[RSA]
礼	~*[RSL][RSFD]
社	~*[RSY]
祀	~*[RSOL]
祁	~*[RSB]
祇	~*[RSX]
祈	~*[RSK]
祉	~*[RSZ]
祐	~*[RSXO]
祓	~*[RSAX][RSAV][RSA]
祕	~*[RSHP]
祖	~*[RSM]
祗	~*[RSXE]
祚	~*[RSVF]
祝	~*[RSOR]
神	~*[RSI][RSII]
祟	~*[EERS]*[EURS]
祠	~*[RSE][RSYO]
祢	~*[RSNS]*[RSVS]
祥	~*[RHV][RSBH]
票	~*[CRS]
祭	~*[JA][JRS]
祷	~*[RSFA]*[RSYA]
祺	~*[RSKB]
祿	~[RSCWV][RSEWV][RSCW][RSEW]
禀	~*[LOOS]
禁	~*[TSV][TTRS]
禄	~*[RSCW]*[RSEW]
禅	~*[RSO][RSBJ][RSOJ][RSSJ]
禊	~*[RSHD][RSFDR][RSFD]
禍	~*[CT][RSOB][RSQO]
禎	~*[RSZB]
福	~*[RQ][RSEQ]
禔	~*[RSJ][RSDZ]
禛	~*[RSJB]
禝	~*[RSQP]
禦	~*[MIVS]*[MIWS]
禧	~[RSYOV][RSYO]
禪	~[RSBJV][RSOJV][RSOV][RSSJV][RSBJ][RSO][RSOJ][RSSJ]
禮	~*[RSRD][RSFDV][RSLV][RSFD][RSL]
禰	~*[RSR]
禳	~*[RSLK][RSLR][RSL]
禹	~*[PCNU]
禺	~*[QNU]
禽	~*[BLA][BLXU][BWUU]
禾	~*[HN]
禿	~*[HRL]*[HRZ]
秀	~*[HRP]
私	~*[HUA]
秉	~*[GES]
秋	~*[HFN]
科	~*[HDJ]
秒	~*[HSP]
秕	~*[HBL]
秘	~*[HHP]
租	~*[HME]
秡	~*[HAX][HAXX]
秣	~*[HQB]*[HYS]
秤	~*[HPJ]
秦	~*[FNH]
秧	~[HCNV][HC][HCN]
秩	~*[HSN]
秬	~*[HFF]
称	~*[HY][HENY][HNS][HVS]
移	~*[HCC]
稀	~*[HXXN]
稈	~[HDGV][HDG]
程	~*[HC][HOK]
稍	~*[HSU]
税	~*[HR][HBOR]
稔	~*[HAYH]
稗	~*[HPG][HPQG]
稘	~*[HKB]
稙	~*[HJE]*[HJL][HJME][HJML]
稚	~*[HVE]
稜	~*[HYX][HYBP][HYRP]
稟	~*[LOOH]
稠	~*[HNYO][HNOV][HNO]
種	~*[HCI]*[HCJ]*[HCV]*[HGQ]
稱	~[HENYV][HNSV][HVSR][HYV][HENY][HNS][HVS][HY]
稲	~*[HEG][HEID]
稷	~*[HQBP]*[HQRP]
稻	~[HEGV][HEIDV][HEG][HEID]
稼	~*[HNEQ]
稽	~*[HAKD]
稾	~*[QHN][LHNH][LNOH][LONH]
稿	~*[HQO][HLHO][HLNO][HLOO]
穀	~*[YNEU]*[YNHU]
穂	~*[HCH][HJQH]
穃	~*[HNW][HNBO]
穆	~*[HPDM]
穉	~*[HCWS]
積	~*[HB][HHMB][HOB]
穎	~*[FHT][FHTB]
穏	~*[HH][HEEH][HEIH]
穐	~*[HNX][HNQL]
穗	~*[HCUH][HCHV][HJQHV][HCH][HJQH]
穡	~*[HWOO]
穢	~*[HEC][HZAS]
穣	~*[HLN][HDJK][HLJK][HLOK]
穩	~[HEEHV][HEIHV][HHV][HEEH][HEIH][HH]
穫	~*[HRVU]
穰	~[HLJKV][HLNV][HLOKV][HLJK][HLN][HLOK]
穴	~*[NBA][NBNV][NBN]
究	~*[NK][NBK][NRK]
穹	~[NBQV][NRQV][NBQ][NRQ]
空	~*[NBI]*[NRI]
穽	~*[NBJ][NRJR][NRJ]
穿	~*[NBX]*[NBY]*[NRX]*[NRY]
突	~*[ND][NBAD][NRAD]
窃	~*[NBCD]*[NRCD]
窄	~*[NBVF]*[NRVF]
窈	~*[NBWD]*[NRWD]
窒	~*[NRP][NBPV][NBP]
窓	~*[NBPH]*[NBUH]*[NRPH]*[NRUH]
窕	~*[NBR][NBRB][NRRB][NRRR][NRR]
窖	~*[NBSO]*[NRSO]
窗	~*[NBPC]*[NBPO]*[NBPQ]*[NRPC]*[NRPO]*[NRPQ][NBUHV][NBUH]
窘	~*[NBEO]*[NREO]
窟	~*[NBCE]*[NBCU]*[NRCE]*[NRCU]
窩	~*[NBOB]*[NBQO]*[NROB]*[NRQO]
窪	~*[NBWY]*[NRWY]
窮	~*[NQV]*[NRD][NBSQ][NRSQ][NBDV][NBD]
窯	~*[NBBE]*[NBBF]*[NBBU]*[NBUE]*[NBUU]*[NBWU]*[NRBF]*[NRUE]*[NRUU]*[NRWU]
窰	~*[NREE][NBBFV][NBEEV][NBEUV][NBUEV][NBUUV][NRBFV][NREUV][NRUEV][NRUUV][NBBF][NBEE][NBEU][NBUE][NBUU][NRBF][NREU][NRUE][NRUU]
窶	~*[NBMG]*[NRMG]
窺	~*[NBQ]*[NRQ][NBQR][NRQR]
窿	~*[NBBS]*[NRBS]
竃	~*[NBYL]*[NBYX]*[NRYL]*[NRYX]
竄	~*[NBCC]*[NBGS]*[NRCC]*[NRGS]
竅	~*[NBIK]*[NBPP]*[NRIK]*[NRPP]
竇	~*[NBJD]*[NBYB]*[NBYM]*[NRYB]*[NRYM]
竈	~[NBYXV][NRYXV][NBYX][NRYX]
竊	~*[NU][NBEU][NBMU][NREU][NRMU][NBCDV][NRCDV][NBCD][NRCD]
立	~*[LE]
竍	~[LJJR][LJJ]
竏	~*[LGJ]
竑	~*[LXU]
竒	~*[LIO]*[LOI]*[LTO][DTOV][VOR][DTO][VO]
竓	~[LMLV][LML]
竕	~[LBDV][LBD]
站	~[LZOV][LZO]
竚	~[LNTV][LNT]
竜	~*[LQL]
竝	~*[LLE]
竟	~*[LDR]
章	~*[LDJ]
竡	~*[LTD]
竢	~*[LAN][LUVD]
竣	~*[LHX][LUBP][LURP]
童	~*[LQE]
竦	~[LJCSV][LVSV][LJCS][LVS]
竧	~*[LSX]
竪	~*[RUL]
竫	~*[LNE][LEEV][LEE]
竭	~*[LDNF]*[LDNL][LDLS][LDL]
端	~*[LDI]*[LER][LETR]
竰	~*[LLQ]
競	~*[LR][LORR][LORV][LOR]
竸	~*[LDRR]
竹	~*[ZI]
竺	~*[ZRE]
竿	~*[ZGJ]
笂	~*[ZKA]*[ZZA]*[ZZX][ZZJV][ZZJ]
笄	~[ZKJV][ZKJ]
笆	~*[ZCL]
笈	~*[ZPU]*[ZRN]
笊	~*[ZEI]*[ZEN]
笋	~*[ZEX]
笏	~*[ZNM]
笑	~*[ZED]*[ZGN][ZPDV][ZPD]
笘	~*[ZZO]
笙	~*[ZSE]
笛	~*[ZIQ]
笞	~*[ZUO]
笠	~*[ZLE]
笥	~*[ZEO][ZYEO]
符	~*[ZPA]
笨	~*[ZTE]
第	~*[ZP][ZQIP][ZQP][ZTP]
笳	~*[ZDO]
笵	~*[ZWP]
笶	~*[ZVD]
笹	~*[ZSL]
筅	~*[ZSR]
筆	~*[ZEJ]*[ZML]
筈	~*[ZGO]
等	~*[ZYA]
筋	~*[ZUD]
筌	~*[ZBK]
筍	~*[ZND]
筏	~*[ZPAQ]
筐	~*[ZFK]
筑	~*[ZIZ][ZIRA]
筒	~*[ZNEO]
答	~*[ZAO]
策	~*[ZJN][ZJNS]
筝	~*[ZNE]
筥	~*[ZOV][ZOPO]
筧	~[ZMRR][ZMR]
筬	~*[ZAY][ZAQN]
筮	~*[ZWE]
筰	~*[ZPVF]
筱	~*[ZPIP]
筴	~[ZGNR][ZGN]
筵	~*[ZPZW]
筺	~*[ZFKA]
箆	~*[ZNBB]
箇	~*[ZOJO]
箋	~*[ZAK]*[ZKX][ZAQQ]
箍	~*[ZJFN]
箏	~[ZEEV][ZNEV][ZEE][ZNE]
箒	~*[ZENN][ZEJV][ZEJ]
箔	~*[ZWPD]
箕	~*[ZKB]
算	~[ZMRV][ZMR]
箘	~*[ZOH]
箙	~*[ZUPU]
箚	~*[ZAOR]
箜	~*[ZNBI]*[ZNRI]
箝	~*[ZJG]
箞	~*[ZPL][ZBNP]
箟	~*[ZDB]
管	~*[ZNB][ENBV][ENB]
箪	~*[ZOJ][ZBQJ][ZOOJ][ZSQJ]
箭	~*[ZBI][ZBER]
箱	~*[ZTM]
箴	~*[ZKO][ZAQO]
箸	~*[ZHO]*[ZYD][ZYPD]
節	~*[RPI]*[ZAP]*[ZGI]*[ZPI][ZADP][ZDUP]
篁	~*[ZPDK]
範	~*[ZCP]
篆	~*[ZCEQ]
篇	~*[ZFM]
築	~*[ZT][ZIRT][ZIZT]
篋	~*[ZFG]
篌	~*[ZPFD]
篏	~[ZGIV][ZGI]
篝	~*[ZJE][ZJNY]
篠	~*[ZPN][ZPIT]
篤	~*[ZMF]
